Board Name,Board Type,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,City,Postal Code,Enrolment,Latitude,Longitude,First Language Not English,New to Canada from Non-English Speaking Country,Receiving Special Education Services,Identified as Gifted,Live in Low-Income Households,Parents Have Some University Education,2016 Grade 3 Reading,2019 Grade 3 Reading,2016 Grade 3 Writing,2019 Grade 3 Writing,2016 Grade 3 Math,2019 Grade 3 Math,2016 Grade 6 Reading,2019 Grade 6 Reading,2016 Grade 6 Writing,2019 Grade 6 Writing,2016 Grade 6 Math,2019 Grade 6 Math
Bloorview SA,Provincial/Hospital,Bloorview School Authority,Hospital,Not applicable,Elementary,English,JK-8,Toronto,M4G1R8,65.0,43.71881,-79.3725,6.0,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Toronto CDSB,Cath Dist Sch Brd (E/F),All Saints Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Etobicoke,M9P3A7,870.0,43.68526,-79.5279,200.0,44.0,104.0,17.0,165.0,487.0,765.0,696.0,802.0,722.0,705.0,522.0,774.0,774.0,773.0,835.0,554.0,609.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Annunciation Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M3A2M8,340.0,43.75329,-79.3214,102.0,51.0,34.0,0.0,85.0,204.0,274.0,299.0,286.0,272.0,243.0,258.0,319.0,316.0,305.0,326.0,262.0,252.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Blessed Margherita of Citta Castello Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M3L1Z5,335.0,43.74319,-79.5077,100.0,0.0,67.0,0.0,67.0,100.0,274.0,181.0,318.0,194.0,170.0,141.0,248.0,255.0,262.0,265.0,75.0,57.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Blessed Pier Giorgio Frassati Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Scarborough,M1X1X4,340.0,43.82953,-79.2333,102.0,17.0,34.0,0.0,68.0,102.0,340.0,323.0,340.0,323.0,183.0,190.0,340.0,299.0,340.0,326.0,200.0,136.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Blessed Sacrament Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M5M1H9,560.0,43.72718,-79.4041,67.0,39.0,45.0,22.0,39.0,482.0,536.0,515.0,536.0,515.0,482.0,487.0,506.0,521.0,527.0,538.0,377.0,392.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Blessed Trinity Catholic School,Catholic,Not applicable,Elementary,English,JK-8,North York,M2K1G3,220.0,43.78703,-79.3925,66.0,33.0,55.0,0.0,88.0,132.0,160.0,154.0,160.0,154.0,146.0,73.0,183.0,110.0,200.0,110.0,0.0,0.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Canadian Martyrs Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M4C2Z1,345.0,43.69801,-79.3194,69.0,17.0,52.0,0.0,121.0,207.0,323.0,310.0,309.0,300.0,209.0,224.0,323.0,304.0,334.0,304.0,209.0,238.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Cardinal Carter Academy for the Arts,Catholic,Not applicable,Elementary,English,7-8,Toronto,M2N3C8,120.0,43.76382,-79.4096,12.0,0.0,0.0,6.0,24.0,84.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Toronto CDSB,Cath Dist Sch Brd (E/F),Cardinal Leger Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1C4Y1,335.0,43.79349,-79.1747,34.0,0.0,34.0,17.0,67.0,134.0,248.0,211.0,243.0,224.0,153.0,90.0,240.0,278.0,280.0,255.0,127.0,104.0
Toronto CDSB,Cath Dist Sch Brd (E/F),D'Arcy McGee Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6E2A2,285.0,43.6923,-79.4426,86.0,14.0,86.0,0.0,57.0,114.0,166.0,217.0,164.0,202.0,95.0,108.0,219.0,188.0,198.0,222.0,69.0,63.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Epiphany of our Lord Catholic Academy,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1W3J5,175.0,43.79901,-79.3285,61.0,44.0,44.0,0.0,70.0,79.0,139.0,150.0,127.0,163.0,68.0,63.0,111.0,117.0,110.0,136.0,41.0,46.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Father Serra Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M9P3J3,540.0,43.68565,-79.5375,27.0,5.0,54.0,16.0,43.0,443.0,504.0,459.0,497.0,497.0,386.0,340.0,529.0,529.0,529.0,518.0,418.0,351.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Holy Angels Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M8Z2G6,560.0,43.62882,-79.5174,112.0,45.0,73.0,11.0,95.0,358.0,447.0,398.0,460.0,409.0,441.0,375.0,470.0,437.0,503.0,448.0,334.0,291.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Holy Child Catholic Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M9W7A6,330.0,43.72963,-79.6196,50.0,33.0,66.0,0.0,99.0,99.0,235.0,261.0,239.0,234.0,217.0,221.0,241.0,248.0,253.0,248.0,122.0,82.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Holy Cross Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M4J3R7,365.0,43.68999,-79.3411,110.0,36.0,55.0,0.0,110.0,164.0,274.0,299.0,257.0,234.0,174.0,223.0,282.0,299.0,303.0,288.0,92.0,77.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Holy Family Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6K2V6,235.0,43.63845,-79.435,70.0,12.0,47.0,0.0,106.0,70.0,149.0,134.0,165.0,122.0,66.0,40.0,175.0,186.0,193.0,195.0,104.0,118.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Holy Name Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M4K3K9,320.0,43.67753,-79.3469,64.0,0.0,64.0,16.0,64.0,208.0,244.0,234.0,244.0,234.0,170.0,182.0,298.0,259.0,291.0,259.0,152.0,128.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Holy Rosary Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M5P2Y1,295.0,43.68492,-79.4137,88.0,30.0,30.0,0.0,59.0,177.0,295.0,271.0,295.0,295.0,243.0,209.0,254.0,295.0,281.0,295.0,190.0,198.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Holy Spirit Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1T3K7,445.0,43.78026,-79.3019,178.0,89.0,44.0,0.0,156.0,200.0,242.0,249.0,257.0,285.0,155.0,147.0,316.0,240.0,309.0,263.0,113.0,93.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Immaculate Conception Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6M2K9,520.0,43.69763,-79.4786,166.0,52.0,68.0,0.0,182.0,130.0,275.0,322.0,278.0,286.0,142.0,146.0,316.0,348.0,349.0,359.0,134.0,130.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Immaculate Heart of Mary Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1N3J7,175.0,43.69503,-79.2631,26.0,18.0,26.0,9.0,35.0,96.0,124.0,126.0,126.0,136.0,96.0,107.0,165.0,152.0,154.0,128.0,85.0,93.0
Toronto CDSB,Cath Dist Sch Brd (E/F),James Culnan Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6S3S1,550.0,43.66109,-79.4862,176.0,39.0,66.0,6.0,160.0,204.0,352.0,440.0,429.0,468.0,280.0,308.0,361.0,440.0,335.0,412.0,215.0,286.0
