Board Name,Board Type,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,City,Postal Code,Enrolment,Latitude,Longitude,First Language Not English,New to Canada from Non-English Speaking Country,Receiving Special Education Services,Identified as Gifted,Live in Low-Income Households,Parents Have Some University Education,2016 Grade 9 Academic Math,2019 Grade 9 Academic Math,2016 Grade 9 Applied Math,2019 Grade 9 Applied Math,2016 Grade 10 OSSLT,2019 Grade 10 OSSLT
Toronto CDSB,Cath Dist Sch Brd (E/F),Bishop Allen Academy Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M8Y2T3,1585.0,43.634,-79.5054,428.0,32.0,222.0,127.0,206.0,888.0,1318.0,1252.0,673.0,713.0,1444.0,1458.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Bishop Marrocco/Thomas Merton Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M6P1A3,745.0,43.65644,-79.4519,387.0,119.0,209.0,7.0,186.0,201.0,526.0,484.0,283.0,246.0,525.0,693.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Brebeuf College School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M2M3Y6,910.0,43.80172,-79.4029,473.0,173.0,155.0,27.0,237.0,491.0,741.0,719.0,428.0,419.0,675.0,682.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Cardinal Carter Academy for the Arts,Catholic,Not applicable,Secondary,English,9-12,Toronto,M2N3C8,675.0,43.76381,-79.4097,155.0,20.0,54.0,34.0,135.0,364.0,621.0,621.0,N/A,N/A,655.0,662.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Chaminade College School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M6L1M8,925.0,43.70979,-79.4958,240.0,37.0,176.0,28.0,185.0,268.0,834.0,842.0,368.0,416.0,742.0,749.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Dante Alighieri Academy,Catholic,Not applicable,Secondary,English,9-12,Toronto,M6B2P9,855.0,43.71017,-79.458,539.0,231.0,188.0,0.0,180.0,239.0,597.0,633.0,260.0,231.0,656.0,735.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Father Henry Carr Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M9V3S4,920.0,43.73616,-79.5916,304.0,166.0,166.0,9.0,267.0,258.0,661.0,773.0,772.0,672.0,634.0,672.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Father John Redmond Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M8V4B7,1235.0,43.59459,-79.5163,370.0,12.0,173.0,111.0,161.0,642.0,1161.0,1161.0,823.0,889.0,1116.0,1161.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Francis Libermann Catholic High School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M1S4G2,920.0,43.80674,-79.2742,377.0,120.0,175.0,28.0,221.0,331.0,871.0,810.0,491.0,570.0,714.0,764.0
Toronto CDSB,Cath Dist Sch Brd (E/F),James Cardinal McGuigan Catholic High School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M3J3G3,870.0,43.76319,-79.493,461.0,296.0,139.0,9.0,270.0,200.0,835.0,835.0,535.0,722.0,495.0,470.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Jean Vanier Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M1K4G4,875.0,43.73783,-79.2595,481.0,236.0,166.0,0.0,236.0,324.0,691.0,788.0,381.0,438.0,633.0,639.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Loretto Abbey Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M5M3E2,935.0,43.74088,-79.4111,262.0,47.0,75.0,28.0,168.0,477.0,784.0,729.0,130.0,103.0,835.0,860.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Loretto College School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M6H2N1,450.0,43.6648,-79.4111,225.0,45.0,90.0,0.0,90.0,112.0,326.0,414.0,141.0,162.0,334.0,387.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Madonna Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M3K1V5,700.0,43.72903,-79.4778,371.0,231.0,112.0,0.0,175.0,196.0,615.0,560.0,231.0,238.0,499.0,504.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Marshall McLuhan Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M5N3B1,1095.0,43.70771,-79.4101,580.0,153.0,197.0,22.0,230.0,482.0,829.0,953.0,604.0,701.0,905.0,996.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Mary Ward Catholic Secondary School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M1V3S8,1055.0,43.81339,-79.3027,411.0,74.0,106.0,74.0,264.0,411.0,824.0,865.0,422.0,443.0,990.0,950.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Michael Power/St Joseph High School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M9C3Z7,1915.0,43.66014,-79.5823,594.0,77.0,287.0,77.0,326.0,881.0,1659.0,1609.0,1036.0,1015.0,1593.0,1609.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Monsignor Percy Johnson Catholic High School,Catholic,Not applicable,Secondary,English,9-12,Toronto,M9W4K9,990.0,43.7217,-79.5715,356.0,129.0,198.0,10.0,248.0,297.0,697.0,822.0,461.0,535.0,714.0,792.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Msgr Fraser College (Alternate Study) Secondary School,Catholic,Alternative,Secondary,English,9-12,Toronto,M6G2M3,190.0,43.66746,-79.4135,66.0,19.0,76.0,0.0,48.0,66.0,N/A,N/A,N/A,N/A,N/A,N/A
Toronto CDSB,Cath Dist Sch Brd (E/F),Msgr Fraser College (Isabella Campus),Catholic,Not applicable,Secondary,English,9-12,Toronto,M4Y1P6,140.0,43.66967,-79.3768,91.0,63.0,42.0,0.0,42.0,49.0,N/A,N/A,N/A,N/A,N/A,N/A
Toronto CDSB,Cath Dist Sch Brd (E/F),Msgr Fraser College (Midtown Campus),Catholic,Alternative,Secondary,English,9-12,Toronto,M4Y1P6,80.0,43.669738,-79.376855,32.0,8.0,16.0,0.0,24.0,40.0,N/A,N/A,N/A,N/A,N/A,N/A
Toronto CDSB,Cath Dist Sch Brd (E/F),Msgr Fraser College (Norfinch Campus),Catholic,Alternative,Secondary,English,9-12,Toronto,M3N1W8,210.0,43.75748,-79.5274,94.0,63.0,52.0,0.0,63.0,52.0,N/A,N/A,N/A,N/A,N/A,N/A
