Neighbourhood,population_2016,english,percent_english,french,percent_french,non_official_languages,percent_nol,low_income,percent_low,midplus_income,percent_midplus
City of Toronto,2731571,1375905,0.503704644689814,35440,0.012974218865261053,1186885,0.4345063701437744,993225,0.3636094394031859,1698440,0.6217813851442997
Agincourt North,29113,7070,0.24284683818225536,120,0.00412186995500292,20570,0.7065572081200838,12925,0.44395974307010616,15880,0.545460790712053
Agincourt South-Malvern West,23757,7080,0.29801742644273266,140,0.005892999957907143,15505,0.6526497453382161,10410,0.4381866397272383,13065,0.549943174643263
Alderwood,12054,7360,0.6105856976937116,105,0.008710801393728223,4205,0.3488468558154969,2545,0.2111332337813174,9490,0.7872905259664842
Annex,30526,20645,0.676308720435039,705,0.023095066500687936,7755,0.2540457315075673,8745,0.28647710148725675,19935,0.6530498591364738
Banbury-Don Mills,27695,13985,0.5049647950893663,410,0.014804116266474094,12060,0.435457663838238,6845,0.24715652644881747,20165,0.7281097671059759
Bathurst Manor,15873,6710,0.4227304227304227,165,0.010395010395010396,8140,0.5128205128205128,5285,0.33295533295533297,10300,0.6489006489006489
Bay Street Corridor,25797,10610,0.41128813427917976,450,0.017443888824281894,13725,0.5320386091405978,12500,0.4845524673411637,13095,0.5076171647866031
Bayview Village,21396,7380,0.34492428491306787,200,0.009347541596560104,12920,0.6038511871377827,7585,0.354505515049542,13565,0.6339970087866891
Bayview Woods-Steeles,13154,4575,0.3478029496731032,120,0.009122700319294512,7590,0.5770107951953778,4160,0.3162536110688764,8505,0.6465713851299985
Bedford Park-Nortown,23236,16805,0.7232311929764159,300,0.012911000172146669,5520,0.23756240316749871,4360,0.1876398691685316,18755,0.8071526940953693
Beechborough-Greenbrook,6577,3420,0.5199939181997871,60,0.009122700319294512,2610,0.39683746388931124,3195,0.4857837920024327,3180,0.4835031169226091
Bendale,29960,12340,0.41188251001335113,200,0.006675567423230975,15565,0.5195260347129506,12385,0.4133845126835781,16725,0.5582443257676902
Birchcliffe-Cliffside,22291,16600,0.744695168453636,355,0.01592570992777354,4445,0.19940783275761517,6125,0.2747745726975012,15565,0.698263873312099
Black Creek,21737,10355,0.4763766849151217,125,0.005750563555228412,10015,0.4607351520449004,12860,0.591617978561899,8705,0.4004692459861066
Blake-Jones,7727,4955,0.6412579267503559,175,0.022647858159699753,2300,0.2976575643846253,3020,0.3908373236702472,4655,0.6024330270480135
Briar Hill-Belgravia,14257,5475,0.3840218839868135,105,0.007364803254541629,7910,0.5548151785088027,5275,0.3699936873114961,8945,0.6274110963035702
Bridle Path-Sunnybrook-York Mills,9266,6015,0.6491474206777466,200,0.021584286639326572,2830,0.30541765594647097,1280,0.13813943449169006,7915,0.8541981437513491
Broadview North,11499,6215,0.5404817810244369,170,0.014783894251674059,4535,0.39438212018436386,4565,0.39699104269936514,6770,0.588746847551961
Brookhaven-Amesbury,17757,8275,0.46601340316494905,100,0.005631581911358901,8575,0.4829081488990257,8535,0.48065551613448215,9165,0.5161344821760433
Cabbagetown-South St. James Town,11669,7935,0.6800068557717028,350,0.029994001199760048,2700,0.23138229496957752,3740,0.3205073271060074,7255,0.6217327962978833
Caledonia-Fairbank,9955,3875,0.389251632345555,100,0.010045203415369162,5455,0.5479658463083877,3270,0.32847815168257155,6640,0.6670015067805123
